epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9304,0.371582908940812,0.001,0.9661999940872192,0.13488939933478833
1,0.97571665,0.09726942973211408,0.001,0.972100019454956,0.0961838733451441
2,0.9837667,0.05981396392919123,0.001,0.9739000201225281,0.08544370361836627
3,0.98648334,0.0472578880074434,0.001,0.9749000072479248,0.0893078873550985
4,0.99011666,0.03477583625509093,0.001,0.9760000109672546,0.09335784310242161
5,0.99153334,0.028282711402862332,0.001,0.9757000207901001,0.10294449131819419
6,0.99203336,0.024792966899306823,0.001,0.9779999852180481,0.09612208221806214
7,0.99425,0.019156429864815437,0.001,0.9761999845504761,0.1044653513195226
8,0.99406666,0.01935742877307348,0.001,0.978600025177002,0.11175766612286679
9,0.99521667,0.015321857813590517,0.001,0.9721999764442444,0.12648689095673035
10,0.9956167,0.013948300070915139,0.001,0.974399983882904,0.12260599021858071
11,0.99835,0.006385795291692678,0.0003,0.98089998960495,0.11353204804458074
12,0.99951667,0.0030181534114429574,0.0003,0.9815000295639038,0.10299282000785752
13,0.9995833,0.002350192219795038,0.0003,0.9818999767303467,0.09782021339720813
14,0.99965,0.002233544237727377,0.0003,0.9833999872207642,0.10055820424304329
15,0.9998,0.0019399730283233415,0.0003,0.9818000197410583,0.10529352198132984
16,0.9999167,0.00126772919902578,0.0003,0.9818999767303467,0.09876434441373931
17,0.99988335,0.00107720726934834,9e-05,0.9815999865531921,0.10840388348018677
18,0.99993336,0.0007989758623383144,9e-05,0.982699990272522,0.10279046054503851
19,0.9999167,0.0006727022745568926,2.7e-05,0.9825999736785889,0.10822063464684106
