epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9562,0.1440724994863073,0.001,0.9854999780654907,0.044641804356942885
1,0.98415,0.049832308979627364,0.001,0.9884999990463257,0.03592716116272641
2,0.98758334,0.0382653941004537,0.001,0.9782000184059143,0.06533727537855157
3,0.99081665,0.03094259755516153,0.001,0.9901999831199646,0.027425176582473797
4,0.99205,0.02500517796666827,0.001,0.9872999787330627,0.037069454213415155
5,0.99238336,0.023016429534278966,0.001,0.9890999794006348,0.034818616989505245
6,0.99635,0.012132923413907216,0.0003,0.9922000169754028,0.022641881062068023
7,0.99686664,0.009650989836954978,0.0003,0.9933000206947327,0.023037175683439274
8,0.99733335,0.008515181339765452,0.0003,0.993399977684021,0.02364473623995309
9,0.9979333,0.007030475245192065,9e-05,0.9936000108718872,0.022543564095942655
10,0.9984667,0.005697503054398112,9e-05,0.9939000010490417,0.021992604119864156
11,0.99831665,0.005873978300575497,9e-05,0.9932000041007996,0.022185458095418654
12,0.99855,0.005127675856808006,9e-05,0.9933000206947327,0.021721764417991382
13,0.99866664,0.004889174221631644,9e-05,0.9933000206947327,0.02194207168472076
14,0.9987,0.0047460635590202095,9e-05,0.9937999844551086,0.0234529635691797
15,0.9988833,0.004485883861416368,2.7e-05,0.9936000108718872,0.022809628707448154
16,0.9989667,0.004294556679087691,2.7e-05,0.9937999844551086,0.022518839905499136
17,0.99901664,0.003663351871831158,8.1e-06,0.9937999844551086,0.022418798970752506
18,0.9993167,0.0035829259744544592,8.1e-06,0.9937000274658203,0.02246176507167661
19,0.9992167,0.0034734110096906077,2.43e-06,0.9937000274658203,0.022379868522546077
